QueryNumber;DocNumber;DocVotes
5;520;1000
5;524;1010
5;531;0001
5;533;2211
5;549;0001
5;553;1001
5;559;0001
5;561;0010
5;568;0001
5;590;0001
5;592;1001
5;593;2222
5;604;0002
5;605;0100
5;633;2122
5;669;0010
5;701;0001
5;702;1000
5;710;2212
5;711;0002
5;722;0001
5;724;0002
5;729;0001
5;731;0002
5;733;0002
5;750;0100
5;761;0001
5;763;0001
5;772;0100
5;779;0001
5;788;0001
5;805;2211
5;843;0002
5;845;0001
5;856;2121
5;857;1000
5;861;1212
5;864;0001
5;867;0101
5;875;2222
5;876;0002
5;888;0002
5;889;0002
5;895;2210
5;925;0001
5;935;0001
5;943;0001
5;944;0001
5;975;2112
5;980;2120
5;982;0002
5;990;0002
5;1000;0002
5;1019;0001
5;1038;0001
5;1040;0001
5;1064;2220
5;1076;0001
5;1080;0001
5;1088;0001
5;1091;0001
5;1092;0002
5;1093;0002
5;1098;0001
5;1144;2111
5;1156;0001
5;1175;1120
5;1185;0001
5;1188;0001
5;1196;1000
5;1223;0001
5;1226;0001
6;25;0010
6;31;2222
6;90;1000
6;195;0100
6;326;0001
6;370;0110
6;438;0001
6;440;0010
6;441;1000
6;503;1220
6;511;0010
6;586;0001
6;592;1010
6;593;1000
6;722;0001
6;731;0001
6;734;0002
6;805;1000
6;875;1120
6;922;0010
6;963;1000
6;975;1010
6;1092;0001
6;1093;0002
7;45;0100
7;53;0001
7;166;0002
7;171;0001
7;256;0101
7;370;0001
7;371;2122
7;386;0001
7;410;0100
7;439;0101
7;535;0001
7;623;2121
7;633;0100
7;634;0100
7;640;0010
7;669;0010
7;831;0100
7;853;0100
7;856;2111
7;857;0100
7;921;0010
7;1027;0100
7;1054;1100
7;1056;0100
7;1057;0100
7;1059;0100
7;1064;1120
7;1161;0001
8;23;2112
8;169;1000
8;322;0100
8;370;1000
8;386;1000
8;435;0001
8;439;1100
8;463;0001
8;496;1000
8;497;0001
8;498;1000
8;499;1122
8;503;0001
8;605;0001
8;683;2220
8;710;1000
8;750;0010
8;771;1000
8;867;1000
8;875;0001
8;944;0001
8;1125;2220
9;165;1122
9;174;0001
9;362;0001
9;370;0001
9;414;2222
9;443;0100
9;794;2110
9;992;1010
9;1040;0001
9;1115;0102
10;30;2112
10;126;1001
10;157;2222
10;170;1112
10;296;1212
10;301;0001
10;322;0001
10;370;1100
10;413;2222
10;443;1120
10;581;2222
10;676;2122
10;715;0010
10;722;0001
10;728;1101
10;758;1000
10;782;1010
10;835;0010
10;878;2122
10;941;1000
10;1115;1222
10;1215;0010
10;1218;2122
10;1234;0001
10;1239;1101
11;36;0001
11;46;0001
11;96;2210
11;186;1000
11;301;1000
11;428;1002
11;518;2110
11;649;0010
11;652;0001
11;659;0010
11;772;1010
11;796;2222
11;798;2212
11;799;0010
11;835;1000
11;837;0001
11;908;1000
11;909;2222
11;991;2222
11;1119;0100
11;1178;1000
11;1226;0002
12;70;2212
12;181;0001
12;443;2120
12;466;2220
12;755;0010
12;918;1000
12;1115;0001
13;156;2112
13;301;1112
13;314;2222
13;322;1220
13;370;0100
13;443;1120
13;462;1010
13;522;0100
13;643;1000
13;695;1220
13;715;0010
13;719;0010
13;722;0001
13;763;0101
13;764;0001
13;791;2211
13;822;0001
13;900;0100
13;902;1101
13;978;1000
13;1017;0010
13;1033;0001
13;1097;0001
13;1124;0002
14;5;1100
14;89;0100
14;92;0001
14;131;2212
14;135;0001
14;150;2222
14;156;1000
14;203;0010
14;232;0010
14;233;1122
14;234;1121
14;291;0001
14;297;0001
14;314;1000
14;319;0010
14;344;2112
14;345;2210
14;356;0001
14;367;2210
14;370;1110
14;379;0001
14;405;2112
14;413;0001
14;417;1211
14;419;0002
14;421;0001
14;424;0001
14;462;2212
14;465;1102
14;492;1000
14;584;1001
14;602;1011
14;616;2120
14;635;2122
14;662;0100
14;695;0010
14;719;0011
14;777;1012
14;791;2122
14;809;0010
14;815;2222
14;852;2222
14;889;0001
14;899;2222
14;930;0002
14;941;1011
14;1000;0001
14;1008;2220
14;1013;0011
14;1100;2222
14;1117;2220
14;1124;2122
14;1135;1002
14;1206;1000
14;1234;1001
15;17;0001
15;59;2122
15;63;1000
15;72;0001
15;91;0001
15;95;0001
15;97;0001
15;98;0001
15;99;2112
15;135;0001
15;149;1011
15;174;2220
15;197;1001
15;204;2222
15;205;2212
15;226;0002
15;232;0100
15;238;0001
15;266;2222
15;297;0001
15;301;2122
15;322;2122
15;339;2212
15;350;0001
15;354;0001
15;355;2112
15;364;1112
15;370;2111
15;385;2222
15;398;0011
15;408;0100
15;410;1102
15;413;0100
15;414;0100
15;420;0001
15;422;2222
15;423;2221
15;424;0010
15;426;0001
15;434;0001
15;443;2222
15;474;1120
15;545;1212
15;549;2112
15;550;0001
15;601;2122
15;603;0011
15;611;0001
15;642;1010
15;643;0001
15;657;0001
15;673;0001
15;690;2121
15;700;2212
15;720;2222
15;722;1122
15;724;0001
15;725;1010
15;729;0001
15;731;0001
15;735;0001
15;747;1010
15;752;2212
15;763;1102
15;764;1001
15;767;0001
15;792;0010
15;794;1000
15;816;0001
15;822;0002
15;833;0001
15;837;0001
15;844;0002
15;853;1000
15;854;1101
15;857;1000
15;863;1001
15;870;2222
15;875;0001
15;888;0001
15;889;0001
15;900;1001
15;944;1002
15;990;0002
15;993;1000
15;994;1221
15;1000;1002
15;1013;1001
15;1016;1001
15;1027;0010
15;1033;0001
15;1040;0002
15;1093;0001
15;1098;0002
15;1115;0002
15;1162;0012
15;1184;2222
15;1187;0001
15;1192;2222
15;1195;0001
15;1226;0002
15;1232;0001
15;1234;0001
15;1235;2220
16;5;0001
16;10;0001
16;17;0001
16;36;0010
16;41;0110
16;46;1111
16;69;0002
16;72;0001
16;89;2222
16;92;0010
16;95;2222
16;97;1000
16;98;1000
16;126;0001
16;129;2120
16;130;0001
16;132;0001
16;134;1000
16;135;0012
16;148;0001
16;150;1000
16;168;0001
16;181;1011
16;182;2222
16;186;2122
16;189;0001
16;197;1000
16;202;1000
16;205;0001
16;212;0001
16;225;0001
16;226;0002
16;238;0011
16;240;2210
16;255;0001
16;288;0001
16;290;0001
16;292;0001
16;297;0001
16;298;1001
16;301;2222
16;314;2120
16;320;0001
16;322;1122
16;330;0001
16;331;0001
16;333;1001
16;350;0011
16;357;0001
16;359;0012
16;364;2112
16;370;2112
16;376;2220
16;386;0001
16;396;2222
16;398;1010
16;413;0001
16;421;1000
16;424;1012
16;428;1002
16;434;0010
16;443;2222
16;462;0010
16;466;1222
16;468;2121
16;472;0010
16;473;0001
16;475;2122
16;478;0011
16;489;0001
16;490;0001
16;510;0001
16;512;0010
16;518;1011
16;522;2110
16;550;0012
16;553;0001
16;559;0001
16;581;0001
16;582;1010
16;586;0001
16;594;2220
16;615;0001
16;616;0001
16;641;1012
16;642;1102
16;643;0011
16;649;2122
16;656;0001
16;657;1001
16;658;1001
16;659;2122
16;660;1001
16;662;1001
16;673;0001
16;676;0002
16;708;1000
16;709;1000
16;711;0001
16;715;0001
16;719;1001
16;722;1122
16;723;0001
16;724;0001
16;725;0001
16;727;1222
16;729;0001
16;730;0001
16;731;0002
16;735;0001
16;755;1011
16;756;1111
16;758;0001
16;762;0010
16;763;1102
16;764;0002
16;767;0001
16;770;1100
16;772;2122
16;783;1000
16;791;1001
16;797;0001
16;799;2222
16;809;1000
16;810;0001
16;816;0011
16;822;0002
16;834;2222
16;835;0001
16;837;0001
16;844;0002
16;867;0010
16;870;0001
16;872;2210
16;875;0001
16;882;0002
16;888;0002
16;889;0002
16;893;0001
16;896;1000
16;901;2210
16;902;1010
16;919;0001
16;928;1000
16;932;0001
16;935;1111
16;937;1001
16;938;0001
16;941;0001
16;943;0011
16;944;1001
16;970;0010
16;974;0010
16;984;1010
16;990;0001
16;991;1000
16;993;1122
16;994;0010
16;1000;1002
16;1002;1010
16;1016;1011
16;1017;2211
16;1023;0002
16;1033;0001
16;1037;0001
16;1051;1000
16;1066;0001
16;1076;0001
16;1080;0002
16;1098;0002
16;1101;0002
16;1115;0002
16;1135;0001
16;1154;1012
16;1158;0001
16;1189;0001
16;1192;1111
16;1226;1220
16;1232;0001
16;1234;1001
17;49;2122
17;89;2120
17;101;0010
17;128;0001
17;132;0001
17;135;0001
17;153;0002
17;189;0001
17;233;0010
17;238;0001
17;297;0001
17;298;0001
17;301;0002
17;330;0001
17;333;0001
17;357;1111
17;359;1102
17;370;0111
17;428;1002
17;443;1100
17;450;0010
17;506;0010
17;643;0011
17;660;0010
17;662;2120
17;688;2221
17;722;0001
17;729;0001
17;730;0011
17;731;0002
17;735;0002
17;791;1122
17;810;2112
17;816;0012
17;837;0001
17;839;0001
17;845;0001
17;882;0002
17;889;0002
17;897;1000
17;937;0001
17;938;0001
17;941;1001
17;944;1001
17;1000;0001
17;1023;0001
17;1040;0001
17;1069;0001
17;1080;0001
17;1088;0002
17;1101;2221
17;1103;1120
17;1115;0001
17;1187;0001
17;1234;0001
18;129;2122
18;153;0001
18;205;2120
18;226;0002
18;364;0100
18;370;1010
18;414;0002
18;424;1110
18;443;0010
18;642;1000
18;656;1001
18;657;1010
18;658;1010
18;660;1010
18;725;1110
18;816;1000
18;935;1010
18;993;1110
18;994;1000
18;1016;2110
18;1162;1100
19;21;2220
19;49;0001
19;359;1011
19;370;1100
19;398;0001
19;432;2121
19;455;0010
19;487;2222
19;506;2222
19;618;2222
19;626;2222
19;672;2212
19;688;2222
19;693;2222
19;897;2222
19;936;0010
19;944;0001
19;1000;0001
19;1049;2221
19;1103;2222
19;1129;0001
19;1205;0001
20;126;2112
20;133;0002
20;153;0002
20;181;0010
20;207;2122
20;208;2122
20;220;2221
20;278;2111
20;283;1100
20;286;2111
20;287;2111
20;288;1100
20;290;2111
20;292;2111
20;370;0110
20;443;0010
20;538;2122
20;539;2111
20;540;2222
20;544;2111
20;604;0100
20;643;0001
20;711;1210
20;715;1011
20;731;0001
20;758;2222
20;767;0100
20;791;0001
20;823;2222
20;824;1001
20;882;0002
20;919;1000
20;924;2222
20;928;1000
20;944;0001
20;962;2222
20;970;1001
20;1066;2222
20;1080;0010
20;1115;2222
20;1168;2222
20;1189;0001
20;1213;2222
20;1215;2222
20;1234;1001
20;1239;1120
21;68;2112
21;97;0002
21;98;0012
21;181;0001
21;251;2112
21;413;0001
21;416;0001
21;434;0001
21;443;0002
21;551;0100
21;615;0001
21;676;0001
21;708;2122
21;709;2222
21;719;1100
21;722;0001
21;751;0001
21;756;0010
21;757;0100
21;932;0001
21;941;1101
21;1098;0002
21;1115;1122
21;1158;2221
21;1189;0001
22;13;2222
22;39;0012
22;67;0001
22;69;0001
22;104;0001
22;130;2222
22;189;0001
22;197;0001
22;221;0001
22;226;0001
22;237;0101
22;247;0010
22;258;2221
22;262;2112
22;276;2222
22;322;0001
22;325;0001
22;333;0001
22;342;0110
22;343;0101
22;350;0100
22;365;0001
22;370;1012
22;392;0001
22;431;1121
22;464;0001
22;465;0001
22;473;1121
22;478;1121
22;503;1101
22;510;0101
22;512;0110
22;514;1001
22;586;0001
22;590;0011
22;654;0101
22;671;1101
22;682;0001
22;692;2222
22;704;2111
22;713;0001
22;729;0001
22;731;0002
22;735;0001
22;764;1212
22;774;0101
22;788;1011
22;843;0102
22;845;0002
22;871;1001
22;880;1012
22;881;0102
22;882;0002
22;888;0002
22;898;2212
22;908;1111
22;942;0001
22;946;0001
22;968;0100
22;1000;0002
22;1033;0001
22;1040;0001
22;1083;1122
22;1093;0001
22;1114;1002
22;1144;0100
22;1156;1111
22;1166;0110
22;1194;1121
22;1195;0001
23;9;2221
23;10;2122
23;11;1100
23;12;2212
23;34;2222
23;42;2222
23;99;1112
23;162;1000
23;163;0001
23;167;1000
23;198;1000
23;248;1000
23;285;0010
23;322;0101
23;350;1001
23;370;1002
23;426;2122
23;434;1212
23;464;1000
23;509;2222
23;541;2222
23;582;0002
23;583;1000
23;598;0002
23;716;1002
23;780;1000
23;859;2120
23;883;0001
23;888;1002
23;979;2222
23;984;0002
23;1096;0011
23;1114;2222
23;1156;0010
23;1163;1000
24;32;1100
24;72;0001
24;199;0001
24;207;0001
24;210;2220
24;240;0001
24;254;2111
24;331;0001
24;370;1000
24;377;0001
24;411;0001
24;477;0001
24;492;0001
24;522;0001
24;552;0002
24;559;0010
24;611;1001
24;647;2222
24;677;0001
24;724;0002
24;763;0001
24;858;0001
24;913;2222
24;915;2211
24;926;2121
24;934;0001
24;1000;0001
24;1031;1011
24;1109;2222
24;1195;1121
24;1232;0001
25;72;2112
25;74;2110
25;83;0111
25;84;0011
25;106;1012
25;112;0001
25;120;0102
25;141;0001
25;162;1001
25;172;0001
25;198;1012
25;221;0001
25;276;0001
25;370;1010
25;390;0010
25;392;0001
25;411;2111
25;415;1000
25;425;0001
25;431;2222
25;432;0002
25;464;0010
25;465;1102
25;503;1121
25;505;0001
25;530;0001
25;550;0001
25;559;0001
25;566;1000
25;568;1000
25;569;1011
25;622;0001
25;647;2122
25;855;0001
25;858;2111
25;875;0001
25;880;0002
25;881;1002
25;891;0001
25;913;2222
25;915;0001
25;926;2121
25;949;0001
25;977;1000
25;1027;0001
25;1031;1000
25;1083;0001
25;1156;0110
25;1194;1121
25;1195;1112
25;1210;0001
26;74;0110
26;104;2212
26;199;2222
26;221;0001
26;281;2222
26;285;2112
26;328;2111
26;333;0001
26;342;2110
26;343;1100
26;370;0010
26;392;0001
26;431;2222
26;434;0001
26;442;0002
26;465;0001
26;485;0010
26;488;0010
26;490;0001
26;610;2122
26;617;2222
26;665;1112
26;713;0010
26;774;0101
26;807;1122
26;855;0010
26;881;0102
26;942;1101
26;1061;2222
26;1144;2222
26;1166;2211
26;1194;1121
26;1195;0001
27;98;1102
27;179;0001
27;599;2222
27;756;0002
27;858;0001
27;905;2122
27;912;0001
27;913;1001
27;1000;0100
27;1083;0100
27;1096;0002
28;134;0001
28;135;0102
28;136;0001
28;215;1112
28;274;1000
28;300;0002
28;322;0002
28;331;0001
28;333;0001
28;343;0001
28;351;2112
28;352;2112
28;370;1112
28;392;0001
28;398;0001
28;465;0001
28;467;0001
28;477;2121
28;510;0001
28;550;0001
28;559;0001
28;586;0001
28;611;0001
28;665;0001
28;722;1012
28;724;0102
28;729;0001
28;735;0001
28;759;2111
28;763;0102
28;822;1212
28;832;0001
28;837;0001
28;875;0001
28;882;0002
28;913;0001
28;937;0001
28;942;0101
28;944;0001
28;969;0001
28;990;0002
28;1000;1102
28;1033;0102
28;1040;0102
28;1083;1112
28;1093;0102
28;1187;0001
28;1192;0102
28;1222;0001
28;1226;0001
28;1234;0102
29;15;1012
29;100;0001
29;215;2122
29;274;2222
29;300;2212
29;322;2222
29;333;0101
29;343;0001
29;350;0110
29;351;2122
29;352;2122
29;353;2220
29;370;1112
29;385;0001
29;392;0001
29;434;0001
29;442;0001
29;477;1120
29;510;0001
29;553;0001
29;687;0010
29;714;1002
29;722;1012
29;724;0102
29;729;0001
29;759;2212
29;763;1102
29;764;1000
29;788;1000
29;822;0102
29;832;1222
29;837;0001
29;875;0001
29;937;0001
29;942;0101
29;944;1102
29;1000;0001
29;1033;0100
29;1040;0101
29;1083;0002
29;1093;0100
29;1184;0100
29;1192;1122
29;1234;0102
30;117;0002
30;328;0101
30;332;0001
30;433;2122
30;492;0001
30;557;0002
30;586;2112
30;687;0010
30;775;0001
30;880;2112
30;881;0001
30;911;2212
30;942;1010
30;1001;0011
30;1084;0100
30;1224;1212
30;1234;0001
31;43;2222
31;69;0001
31;127;1112
31;128;1000
31;136;1101
31;145;0002
31;168;0101
31;189;1112
31;213;0001
31;226;1122
31;239;2222
31;272;0100
31;330;1111
31;331;1001
31;332;2222
31;359;0100
31;370;1111
31;389;1000
31;433;2222
31;448;2122
31;467;2222
31;512;0100
31;550;0001
31;551;0101
31;557;2222
31;586;2222
31;620;1001
31;628;0111
31;651;2221
31;701;1100
31;722;1001
31;724;1000
31;729;0101
31;735;0100
31;760;2222
31;762;1000
31;764;1000
31;839;1212
31;845;2222
31;882;1112
31;937;0101
31;938;1212
31;940;0101
31;942;1012
31;944;0001
31;999;2222
31;1000;0101
31;1020;2122
31;1022;1222
31;1036;2112
31;1040;1102
31;1084;2222
31;1093;0002
31;1187;0101
31;1224;1120
31;1232;0001
31;1233;2222
31;1234;0102
32;43;1000
32;127;0001
32;128;1000
32;181;0001
32;184;2222
32;189;0002
32;212;0011
32;226;0001
32;239;0011
32;315;1000
32;330;0001
32;331;0001
32;370;1000
32;389;1112
32;433;1121
32;467;1000
32;473;0001
32;489;1000
32;506;0010
32;586;1011
32;722;1122
32;735;0001
32;764;0001
32;882;0001
32;937;0001
32;999;1000
32;1040;0101
32;1093;0001
32;1220;0001
32;1234;1100
33;37;0101
33;65;0001
33;91;2222
33;94;2220
33;96;0001
33;210;2220
33;225;0012
33;297;0001
33;359;1011
33;370;1212
33;403;2212
33;404;0002
33;413;0002
33;465;2222
33;515;0001
33;612;2222
33;637;2220
33;638;2220
33;663;0001
33;719;0001
33;721;2222
33;731;0001
33;763;1001
33;764;0002
33;773;0001
33;793;0010
33;795;1000
33;797;2210
33;811;2222
33;818;2220
33;822;0001
33;825;2222
33;846;0001
33;882;0001
33;888;1002
33;889;0002
33;916;2222
33;920;2212
33;927;2121
33;978;2110
33;981;1000
33;995;1121
33;996;2222
33;1000;0100
33;1023;0001
33;1052;2222
33;1072;0001
33;1098;0001
33;1105;2222
33;1113;2222
33;1122;1112
33;1123;0112
33;1183;1122
33;1186;1222
33;1189;0011
33;1215;0010
33;1234;1222
34;37;2222
34;65;2212
34;76;0011
34;77;0100
34;94;0002
34;135;0001
34;225;0002
34;235;0010
34;236;0010
34;247;0010
34;261;2122
34;277;0010
34;297;0001
34;359;0010
34;403;2221
34;404;2222
34;465;2222
34;471;2221
34;552;0001
34;627;0001
34;637;2222
34;638;2222
34;721;2222
34;773;2211
34;795;2222
34;817;2222
34;818;0001
34;825;0100
34;846;2222
34;916;2221
34;933;0001
34;941;0100
34;944;0001
34;995;2222
34;1000;0100
34;1023;0001
34;1052;0101
34;1186;0001
34;1234;0001
35;32;1000
35;120;0100
35;210;2222
35;811;1120
35;825;0100
35;888;0001
35;913;2110
35;915;2120
35;920;0100
35;926;0010
35;948;0010
35;1105;0001
35;1109;2222
35;1119;0001
36;66;1000
36;325;0001
36;370;0002
36;403;1100
36;612;2120
36;721;1000
36;722;2220
36;724;0001
36;1052;2220
37;3;2112
37;4;1000
37;28;2120
37;33;2222
37;35;2122
37;38;2222
37;65;1001
37;71;1111
37;76;1002
37;116;0001
37;119;0001
37;120;1222
37;131;2222
37;148;0001
37;150;0001
37;158;2222
37;175;2222
37;203;2122
37;220;0001
37;225;2222
37;231;0012
37;233;0010
37;234;2222
37;238;0011
37;247;2112
37;280;1212
37;291;0001
37;294;1000
37;318;2222
37;319;2111
37;333;1012
37;334;1001
37;342;0001
37;345;0001
37;370;0012
37;378;2122
37;379;2222
37;380;2222
37;392;0001
37;403;0001
37;428;1001
37;433;1000
37;443;0001
37;465;2222
37;470;2121
37;476;1122
37;482;2222
37;483;2222
37;491;2222
37;492;2222
37;510;0001
37;512;0001
37;514;0001
37;596;0001
37;600;2222
37;627;1112
37;671;0001
37;697;2222
37;711;0010
37;712;2122
37;717;2222
37;721;1000
37;731;0002
37;774;1011
37;776;0001
37;815;2222
37;817;2122
37;818;0001
37;831;2221
37;835;2122
37;849;2222
37;866;1012
37;871;0012
37;877;2222
37;888;0001
37;930;2122
37;933;1111
37;941;1000
37;942;1211
37;944;0100
37;946;2222
37;991;2212
37;1008;2222
37;1011;1011
37;1014;2222
37;1028;2222
37;1080;0001
37;1126;2222
37;1128;1222
37;1130;0001
37;1131;1122
37;1133;2222
37;1135;0111
37;1174;1222
37;1176;2222
37;1178;2122
37;1182;1222
37;1234;1212
38;14;2122
38;76;0001
38;117;1010
38;142;0001
38;252;0100
38;360;2212
38;370;0001
38;390;2222
38;392;0001
38;444;0001
38;465;1212
38;503;0001
38;505;0010
38;510;0001
38;572;0010
38;573;0010
38;621;0001
38;622;0002
38;627;0001
38;634;2112
38;644;1121
38;646;1001
38;666;1010
38;702;0002
38;729;0001
38;776;0001
38;786;1000
38;856;0001
38;862;0001
38;866;0100
38;873;1002
38;881;1000
38;882;0002
38;888;0001
38;971;1122
38;990;0002
38;1001;1000
38;1024;1001
38;1027;1000
38;1029;1000
38;1059;1000
38;1066;0001
38;1068;1222
38;1072;0001
38;1075;1000
38;1130;1222
38;1136;1222
38;1140;1122
38;1146;0011
38;1148;0011
38;1160;0011
38;1230;1000
38;1234;1210
39;3;1000
39;67;0001
39;74;0001
39;76;0001
39;83;2121
39;84;0001
39;85;2122
39;102;1000
39;107;0001
39;108;0002
39;112;0011
39;135;0001
39;143;1000
39;216;2122
39;217;2122
39;218;2122
39;219;2122
39;221;2122
39;222;2121
39;225;2222
39;226;0001
39;230;1002
39;233;0010
39;235;2122
39;236;2122
39;244;0010
39;248;0010
39;249;2112
39;252;1011
39;254;1010
39;263;1011
39;276;0001
39;277;2122
39;289;2112
39;293;2112
39;297;0001
39;301;0001
39;304;1122
39;306;0001
39;307;1001
39;308;0002
39;338;2122
39;342;0002
39;343;0002
39;356;1101
39;360;0010
39;365;0001
39;366;1000
39;370;0001
39;392;0001
39;404;0002
39;407;2122
39;412;2110
39;420;2112
39;433;1002
39;453;1000
39;465;0002
39;470;2121
39;488;0011
39;490;0001
39;494;0002
39;503;0001
39;505;0012
39;508;0101
39;510;1001
39;529;0012
39;530;0001
39;532;0001
39;534;0011
39;535;0001
39;553;1012
39;560;2122
39;563;0002
39;564;1001
39;565;0001
39;566;0001
39;567;1001
39;568;0001
39;569;0001
39;570;0011
39;571;0011
39;572;0001
39;573;1011
39;576;1000
39;584;1122
39;586;0001
39;608;0011
39;610;0001
39;619;2121
39;621;0001
39;622;0002
39;627;0001
39;639;2221
39;645;2111
39;646;1001
39;647;0010
39;652;0001
39;654;2121
39;702;0002
39;716;0111
39;729;0001
39;738;0002
39;739;0002
39;740;0002
39;744;0001
39;746;0002
39;749;0001
39;776;0001
39;777;0011
39;786;0011
39;845;0001
39;849;0001
39;851;2121
39;862;0001
39;869;1002
39;873;1122
39;881;1001
39;882;0002
39;888;0001
39;889;0001
39;892;0001
39;902;0001
39;918;0002
39;942;0001
39;944;0001
39;949;1002
39;966;0012
39;971;2122
39;990;0002
39;1001;1001
39;1026;0001
39;1027;1001
39;1029;1001
39;1044;0001
39;1066;0001
39;1070;0001
39;1072;0001
39;1076;0001
39;1096;0100
39;1127;1011
39;1135;0001
39;1136;1000
39;1137;1221
39;1139;1222
39;1140;0010
39;1141;1122
39;1146;0011
39;1148;0011
39;1160;0010
39;1161;0001
39;1185;0001
39;1194;0001
39;1209;0001
39;1210;0001
39;1211;1002
39;1222;0001
39;1224;0001
39;1225;1112
39;1230;1002
39;1234;1211
39;1236;0001
39;1238;0002
40;2;0100
40;3;2122
40;4;2122
40;5;0100
40;9;0001
40;10;0001
40;17;0001
40;28;2212
40;32;0001
40;35;0100
40;76;0001
40;77;1122
40;95;2110
40;103;0010
40;105;0010
40;108;0010
40;109;1010
40;112;0010
40;115;0010
40;116;1122
40;119;1001
40;120;0001
40;132;0001
40;142;0001
40;144;0001
40;150;0102
40;151;0002
40;169;1000
40;173;0001
40;189;0001
40;198;0010
40;210;0001
40;225;2122
40;231;2122
40;233;2222
40;235;0010
40;236;0010
40;240;2110
40;248;1000
40;249;0010
40;252;1002
40;254;1122
40;261;0010
40;263;0001
40;277;1122
40;279;0010
40;289;0010
40;291;0001
40;293;0011
40;294;1011
40;297;0001
40;298;0001
40;304;0010
40;308;0010
40;333;0001
40;338;0001
40;344;0011
40;345;0001
40;351;1000
40;352;1000
40;370;1001
40;392;0001
40;404;2122
40;405;2122
40;407;0010
40;413;0001
40;417;0102
40;420;0012
40;434;0001
40;465;2222
40;478;0001
40;479;2111
40;508;0002
40;510;0010
40;515;0001
40;526;0010
40;529;0010
40;532;0010
40;535;0001
40;553;0010
40;560;1010
40;571;0010
40;572;0010
40;573;1010
40;576;1000
40;583;0001
40;613;0001
40;616;0001
40;619;0010
40;645;0010
40;646;0010
40;654;0010
40;673;0001
40;677;0001
40;731;0001
40;735;0001
40;763;0001
40;780;0010
40;785;2122
40;786;2122
40;815;1221
40;849;0100
40;851;0001
40;852;0001
40;869;1000
40;882;0001
40;888;0100
40;899;1210
40;931;0010
40;941;1111
40;942;0001
40;949;1000
40;954;0101
40;956;0100
40;959;0100
40;1000;0001
40;1008;1222
40;1024;1000
40;1027;0001
40;1029;0001
40;1052;0011
40;1080;0101
40;1100;1212
40;1105;0002
40;1109;0010
40;1117;1212
40;1124;2210
40;1126;0010
40;1127;0012
40;1128;0010
40;1130;0001
40;1131;0002
40;1132;0001
40;1133;0011
40;1135;1122
40;1137;1121
40;1139;1220
40;1141;1120
40;1146;0010
40;1148;0010
40;1160;0011
40;1161;0010
40;1192;0001
40;1193;1121
40;1230;1120
40;1234;2222
41;46;0100
41;296;0100
41;301;0100
41;322;0010
41;370;0100
41;392;1000
41;603;2221
41;941;0001
41;998;1010
41;1106;2222
41;1107;2222
41;1108;2222
41;1115;1122
41;1184;0010
41;1190;2222
42;5;0001
42;46;0100
42;57;2222
42;92;2212
42;135;0001
42;209;2222
42;245;1011
42;297;0001
42;301;1112
42;314;0100
42;317;2222
42;322;0001
42;337;1212
42;339;0100
42;370;0011
42;416;2212
42;434;0001
42;443;2220
42;489;0001
42;505;2221
42;509;1000
42;550;0001
42;585;2222
42;586;0001
42;601;0001
42;695;2222
42;719;0001
42;722;0002
42;724;0001
